File,standard,
particleNmb,1,
Pos,-0.932,0.085,-1.083,
RandomPosButton,0,0,0,
RandomPos,0,0,0,
EndPosButton,0,
EndPos,0,0,0,
EndPointSpeed,1,
RandomSpeedButton,1,1,0,
Speed,-0.0016556,-0.00054883,-0.021,
RandomSpeed,0.006,0.003,0.003,
StertScale,0.316,
RandomStertScaleButton,0,
RandomStertScale,0.129,
EndScale,0.0529777,
RandomEndScaleButton,1,
RandomEndScale,1.44,
Life,10,
Easing,0,
StertColor,0.421569,0.421569,0.421569,1,
EndColor,0.318627,0.318627,0.318627,0,
RandomStertColorButton,0,
RandomEndColorButton,0,
